Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Travis d'Arnaud","LAA",62.5263,228.314,209.274,45.6066,27.8448,9.86325,0.563401,7.33518,22.7792,25.4119,14.4476,0.00175194,65.498,3.20532,1.26055,0.126925,3.99784,0.265041,0.17666,0.217928,0.0632795,0.286877,0.220581,0.277226,0.375595,0.285119,0.652822,0.157667,2.58572,0.277931,-0.259312,-0.319687,21.7986,-5.17847,79.7736,-0.578999,-0.707973,-6.021830916404724,3.7949485182762146,0.576154,999,2.12039,0.0867516,1.0513,2.12039,-0.0867516,3.59826,200.1,3.176190476,200.1,3.176190476,,,,,,,,,,,,,,,,,,,"Travis d'Arnaud","7739",518595
"Edgar Quero","CHW",110.241,429.82,383.86,97.4255,71.2663,17.5966,0.336447,8.22612,41.6833,43.5334,36.5455,0.416942,78.3475,5.31398,3.53944,0.56162,8.88954,0.896447,0.635908,0.253805,0.085025,0.18228,0.466454,0.324478,0.365689,0.305542,0.690167,0.111884,2.03967,0.296515,-0.283212,-0.825193,48.1646,-2.622,94.5994,-1.10841,-1.79452,-3.851985812187195,-5.123043775558472,0.57008,592.8300170898438,1.62425,-1.26465,0.772703,1.62425,1.26465,3.96973,411.7,3.742727272,411.7,3.742727272,,,,,,,,,,,,,,,,,,,"Edgar Quero","28022",700337
"Jasson Domínguez","NYY",61.2366,239.829,214.132,51.7789,34.7447,9.4305,0.425481,7.17829,31.376,26.2013,22.2788,0.585612,61.2759,1.49659,1.80159,0.119544,3.08598,10.6502,2.3053,0.241809,0.0928949,0.255499,0.363582,0.315192,0.390391,0.308819,0.705583,0.148583,5.59951,0.30242,-0.138483,0.803524,27.5128,-0.824767,96.851,0.665042,0.186626,-0.22756290435791016,-2.357631042599678,0.565956,332.92999267578125,8.89146,0.8184,1.29239,8.89146,-0.8184,3.27681,253.4,4.15409836,253.4,4.15409836,,,,,,,,,,,,,,,,,,,"Jasson Dominguez","28080",691176
"Josh Lowe","LAA",114.88,471.121,428.242,101.609,63.9436,22.3198,2.04677,13.2984,56.7044,49.1738,36.8276,1.95434,127.085,2.28646,2.94409,0.821229,4.89976,20.7975,4.02727,0.237269,0.07817,0.269751,0.289786,0.299219,0.392109,0.299928,0.691328,0.154839,6.13351,0.303678,-0.369199,1.84281,50.6454,-5.02118,89.9748,1.47361,-1.47432,-4.093078970909119,-6.593077540397644,0.565693,260.8500061035156,1.963,-2.72912,0.938346,1.963,2.72912,3.74887,486.3,4.228695652,486.3,4.228695652,,,,,,,,,,,,,,,,,,,"Josh Lowe","19953",666139
"Nick Fortes","TBR",90.2501,308.151,280.178,62.4281,44.0238,11.0692,0.474162,6.86098,29.236,29.3078,17.2498,0.135503,55.7121,5.52656,2.13211,3.06433,6.23478,2.06064,0.800986,0.222816,0.0559784,0.180795,0.309624,0.27928,0.339172,0.273029,0.618451,0.116356,3.10617,0.25288,0.172211,-0.355988,26.3963,-10.0141,72.265,-0.183776,-1.5818,-10.285052567720413,5.381943583488464,0.565384,999,1.58148,-0.606979,0.855141,1.58148,0.606979,3.85981,234.9,2.61,234.9,2.61,,,,,,,,,,,,,,,,,,,"Nick Fortes","21538",663743
"CJ Kayfus","CLE",102.578,398.365,354.284,82.3598,50.4664,18.0498,2.99789,10.8457,45.0015,45.5392,34.6102,0.241788,109.273,5.24045,2.82883,1.40141,4.70267,5.32593,1.40778,0.232468,0.0868807,0.274303,0.316733,0.307863,0.392179,0.306327,0.700042,0.15971,5.10612,0.301754,-0.0669762,-0.105974,44.8936,-2.17626,96.7452,-0.17295,-0.383384,-1.701133817434311,-6.670103192329407,0.546331,999,2.38547,1.09511,0.438428,2.38547,-1.09511,4.41543,404.6,3.928155339,404.6,3.928155339,,,,,,,,,,,,,,,,,,,"CJ Kayfus","33704",692216
"Michael Massey","KCR",80.112,315.483,293.02,70.3572,46.5111,14.3974,0.938675,8.51001,31.9646,34.481,15.2159,0.355072,57.7974,2.96607,3.16949,1.11176,4.19349,2.24569,0.855449,0.24011,0.0482305,0.183202,0.263263,0.281639,0.382779,0.287596,0.664418,0.142669,3.64639,0.269038,0.0108374,-0.325922,30.7557,-6.52107,82.272,-0.315084,0.670836,-6.925393849611282,1.4862651824951172,0.535933,999,2.24049,-0.106025,0.895207,2.24049,0.106025,3.80639,284.9,3.56125,284.9,3.56125,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
"Taylor Walls","TBR",87.2867,332.069,294.187,62.7635,42.4866,13.1324,1.77415,5.37037,37.5969,29.8493,31.9586,0.18819,78.7391,0.957708,3.28133,1.68403,2.9722,14.6291,4.08024,0.213346,0.0962409,0.237117,0.405879,0.289601,0.324811,0.273608,0.614413,0.111466,6.27609,0.268998,0.0865782,0.758341,28.6013,-10.6352,72.6629,0.84492,0.529415,-9.88423216342926,3.881295323371887,0.535678,999,3.61,-0.0522683,1.16504,3.61,0.0522683,3.44661,271.2,3.117241379,271.2,3.117241379,,,,,,,,,,,,,,,,,,,"Taylor Walls","22458",670764
"Austin Wynns","ATH",43.4137,152.787,139.91,31.7413,21.2918,6.02063,0.0760221,4.3528,15.4851,17.608,9.52667,0.0660704,42.2017,1.28178,0.942575,1.1261,2.60073,0.692379,0.201731,0.22687,0.0623527,0.276213,0.225742,0.280559,0.364323,0.282213,0.644882,0.137454,2.58852,0.290446,-0.0895195,-0.155616,14.227,-3.82597,78.5736,-0.245135,0.751914,-4.114324659109116,4.101736783981323,0.527766,999,1.89299,0.613004,1.4319,1.89299,-0.613004,3.0908,129.1,3.002325581,129.1,3.002325581,,,,,,,,,,,,,,,,,,,"Austin Wynns","15271",642851
"Luisangel Acuña","CHW",99.4248,344.274,318.241,77.9081,57.7703,14.2774,1.48715,4.37319,40.035,27.4585,20.1641,0.1544,64.4057,1.72072,2.1467,2.00173,6.50333,18.4241,4.24871,0.244809,0.05857,0.187077,0.31308,0.29156,0.340243,0.278257,0.631803,0.0954349,6.45414,0.292259,-0.147618,1.42007,30.9519,-9.72678,75.8562,1.27245,0.284073,-8.551704168319702,2.033751428127289,0.525249,488.489990234375,3.25817,1.13971,1.46415,3.25817,-1.13971,3.0478,291.7,2.946464646,291.7,2.946464646,,,,,,,,,,,,,,,,,,,"Luisangel Acuna","26548",682668
