Name,Team,Age,xwOBA,Spd,Barrel%,HardHit%,xBA,xSLG,NameASCII,PlayerId,MLBAMID
"Randal Grichuk","KCR",33,0.30464137849353606,1.51785714,0.06666667,0.42666667,0.250362651864278,0.3865741847716656,"Randal Grichuk",10243,545341
"J.P. Crawford","SEA",30,0.32835642496744794,3.2153394092901793,0.04835165,0.34725275,0.2663064693814874,0.3862621455647499,"J.P. Crawford",15491,641487
"Gabriel Arias","CLE",25,0.286237606870086,4.542398196369414,0.11272727,0.43272727,0.21379952960544163,0.38498062557644314,"Gabriel Arias",22563,672356
"Jose Altuve","HOU",35,0.29977445292878185,3.3865805473604045,0.0617284,0.30864198,0.23734916414069154,0.38415423365630325,"Jose Altuve",5417,514888
"Masataka Yoshida","BOS",31,0.3135670493630802,3.3690366568608603,0.06547619,0.44047619,0.26950972857959765,0.3839600098961815,"Masataka Yoshida",31837,807799
"Colby Thomas","ATH",24,0.2809430187895098,4.719363841411512,0.13333333,0.49333333,0.20644489924112955,0.38292118708292644,"Colby Thomas",31855,687515
"Cooper Hummel","- - -",30,0.3130923784696139,3.185073362533,0.12068966,0.37931034,0.19612381675026633,0.3827248920093883,"Cooper Hummel",19458,669450
"Mike Tauchman","CHW",34,0.32100675503412884,2.03197004,0.068,0.388,0.2435959913059623,0.3820900374543881,"Mike Tauchman",15274,643565
"Carlos Narváez","BOS",26,0.2934142791473114,2.015757276798679,0.09121622,0.44594595,0.22007109686991122,0.38144125358638337,"Carlos Narvaez",19722,665966
"Michael A. Taylor","CHW",34,0.2709596448557504,5.075933877712865,0.10471204,0.42931937,0.1862393463549971,0.3804015075268389,"Michael A. Taylor",11489,572191
"Isaac Paredes","HOU",26,0.3197501296297126,1.8524271078493855,0.0625,0.33552632,0.23458008055991314,0.37991539975430105,"Isaac Paredes",20036,670623
"Matthew Lugo","LAA",24,0.26015774863106866,4.622023802499999,0.13333333,0.42222222,0.21728626195935236,0.3790999979212664,"Matthew Lugo",25980,683090
"Samuel Basallo","BAL",20,0.2862501306048894,1.39285714,0.08860759,0.43037975,0.21558397625564435,0.3782241191339055,"Samuel Basallo",28824,694212
"Luke Keaschall","MIN",22,0.32428984711135644,5.089767482576539,0.05194805,0.31168831,0.2626022716144939,0.37821729890592803,"Luke Keaschall",33321,807712
"Jonathan India","KCR",28,0.31417394868025544,2.0929791985189627,0.05837563,0.3680203,0.23835595961539977,0.37803511465749434,"Jonathan India",21523,663697
"Luis Vázquez","BAL",25,0.2793403481537441,6.50885810368266,0.11111111,0.44444444,0.22043882369995116,0.37768924713134766,"Luis Vazquez",23442,676679
"Nathaniel Lowe","BOS",29,0.31418619400415665,3.0971254275,0.05405405,0.44594595,0.23696102142333986,0.3775591278076172,"Nathaniel Lowe",19566,663993
"Ramón Urías","- - -",31,0.2900964505296653,2.687716783408247,0.08029197,0.41605839,0.22862955071460242,0.37721582390796177,"Ramon Urias",18795,602104
"Eugenio Suárez","SEA",33,0.2676967986642498,3.8235725702802266,0.1300813,0.39837398,0.17898665850435325,0.3772084629950832,"Eugenio Suarez",12552,553993
"Abraham Toro","BOS",28,0.3020928588435844,3.2652508736766013,0.04504505,0.34234234,0.2531259897592905,0.37619469248650156,"Abraham Toro",19844,647351
"Cam Smith","HOU",22,0.3043791981788001,5.258874956878254,0.06862745,0.40849673,0.234621130149651,0.37568623030266796,"Cam Smith",35108,701358
"Nick Sogard","BOS",27,0.3023974345280574,4.392677062424894,0.05555556,0.34722222,0.2508372863133748,0.3751349051793416,"Nick Sogard",25483,686765
"Luis Rengifo","LAA",28,0.3019702727023554,4.432897803607636,0.04987531,0.32668329,0.2597850424971036,0.37504122013558366,"Luis Rengifo",19858,650859
"James Outman","MIN",28,0.26371387334970325,6.479826549864594,0.18,0.42,0.16136634224339536,0.3748644377055921,"James Outman",24770,681546
"Brooks Lee","MIN",24,0.28878561233433653,2.9549231943703007,0.0575,0.385,0.23408310907822125,0.3738763954115599,"Brooks Lee",31595,686797
"Harrison Bader","MIN",31,0.29790501829053534,3.6273165137850865,0.11458333,0.40104167,0.2146731380193207,0.37274062146041476,"Harrison Bader",18030,664056
"Nolan Jones","CLE",27,0.3004175310757891,4.705274384896034,0.08536585,0.46747967,0.22436447791945158,0.3726759956511154,"Nolan Jones",20529,666134
"Miles Mastrobuoni","SEA",29,0.32245568269808617,4.2025104331582375,0.02325581,0.36434109,0.2803873984229486,0.3725617263490791,"Miles Mastrobuoni",20017,670156
"Chas McCormick","HOU",30,0.29872124474327844,3.621763772002942,0.05333333,0.29333333,0.2284065628051758,0.37210914611816404,"Chas McCormick",19599,676801
"Mitch Garver","SEA",34,0.29777104466844184,4.299978919189813,0.07909605,0.46892655,0.2085854237473856,0.37122954721525897,"Mitch Garver",15161,641598
"Andy Ibáñez","DET",32,0.30399328532971837,4.530610881778369,0.04635762,0.36423841,0.25367185559575955,0.371071567425149,"Andy Ibanez",18819,628451
"Bo Naylor","CLE",25,0.2922178022472818,2.8056127828981685,0.09665428,0.38289963,0.20142957427043437,0.3707359547734593,"Bo Naylor",21865,666310
"Josh Lowe","TBR",27,0.2975606873978016,6.487396063482052,0.05862069,0.39310345,0.23967781746357147,0.37041079300353846,"Josh Lowe",19953,666139
"Jesús Sánchez","HOU",27,0.284818434715271,5.149153260180319,0.09433962,0.36792453,0.20871056595893756,0.3702954854050728,"Jesus Sanchez",19913,660821
"Jasson Domínguez","NYY",22,0.3063527401362624,6.061727639737428,0.07037037,0.4962963,0.2369643684447281,0.37013284678221375,"Jasson Dominguez",28080,691176
"Miguel Andujar","ATH",30,0.2857943872176924,2.934634655598662,0.04736842,0.33157895,0.2490861075265067,0.3689082273140481,"Miguel Andujar",15878,609280
